Dwell,Music,Dwell:Music
9.297037166202983e-4,2.4772740746886805e-11,0.03978679579897595
2.1995395480595267e-4,9.674810166195099e-20,3.4380462363847465e-4
0.0035356740743637234,4.905520844573212e-14,0.053007704923862975
9.1949599067056e-6,6.738590050920801e-18,0.0013043788633958716
9.208104385112217e-9,3.864527555142536e-18,1.152133738356416e-4
1.404679737797436e-7,5.910542636869429e-15,0.002411889411115403
0.033204251613397504,2.2917126023534017e-11,0.08063589473974178
0.018907704641452267,3.306914112501014e-14,0.6639394680628469
1.0041689311116896e-9,8.568628164748343e-22,9.882788154725594e-6
2.2398226880700297e-5,2.211939423132728e-14,7.58053558610036e-4
3.2860571306908146e-6,4.613141609575507e-17,4.934901261401533e-4
2.897579060206837e-6,2.926169417537255e-27,2.474018681985295e-4
5.243703430879146e-6,5.634059600757832e-22,5.114235244112902e-5
7.489393322556248e-4,5.565150585328976e-14,0.0022968248791863533
2.531880698763637e-8,3.9490370592544417e-16,3.039805003627785e-6
1.800153092043579e-5,1.00114483642738e-11,0.009906243354859791
1.6153707505911036e-4,2.726563891432639e-12,0.09670551203976985
5.635127786155362e-5,1.0932326090730533e-17,0.0017931241017936747
3.5805308139977384e-7,3.2099237904925824e-18,6.828226270779062e-5
1.78050471337881e-4,3.7355299471637804e-8,0.15955130389737116
7.292095135888689e-7,4.016879739836409e-18,8.405830627975672e-4
1.0666313993409098e-5,5.710716028729013e-19,0.004316016890681583
0.009981610375365319,7.535019595712911e-16,0.022894952445008894
6.525649185584197e-5,7.227046768477777e-17,0.015290984574107394
0.001141209044414062,1.5431866719263957e-9,0.7933134612311384
1.4976523694335608e-5,1.156054179292894e-15,0.021321111101468844
0.001913300551423719,3.6905661862535905e-10,0.02979076856044012
0.0024487059688424137,8.3119178368297e-15,0.16211365353684595
0.01773660910019959,4.7938695286461405e-17,0.2539422581406388
1.5700430420983698e-5,1.1191177693709701e-23,9.640645183748554e-5
5.292499624830374e-4,1.304239512515292e-15,0.002378449246911956
1.1505243444922071e-7,1.4488794205106106e-25,1.638817315394157e-7
8.48577301506152e-6,5.62221179388095e-22,5.167323746335928e-4
4.347405181379768e-4,2.050947016463185e-15,0.012573546953371343
1.2077939616307755e-4,1.778526398609709e-16,2.8759377446122876e-4
1.748919834837683e-5,1.1946055265340555e-18,3.354997630417609e-4
8.628459447380702e-6,2.3125565290739012e-20,1.58225001807879e-4
0.011274752165629245,4.0258237077625844e-7,0.9431412563541604
1.5711495589964135e-8,1.884771201672372e-18,4.022926859306681e-4
0.033389764644708685,7.249960432516463e-10,0.6191431082398963
4.711003720073612e-6,2.6232519877195893e-17,5.76889348905466e-4
0.003941593729679875,1.0213877762963465e-11,0.23800772597408135
5.474982616692583e-7,6.979952547553719e-17,3.188917151085928e-4
2.5159044241642673e-4,4.966777821604196e-14,0.07975867772034057
7.682303410798876e-4,2.4378142170079572e-17,0.0037060383218151262
6.85943048616098e-5,2.1512247124147796e-15,0.01477044431076688
5.3455998012593515e-5,3.7953769213741206e-17,0.02019703311831013
0.002612740673184014,6.635858827014651e-12,0.007046412485127303
5.7118160277896354e-5,6.797301564564459e-14,0.006829364036069236
1.4484439278950556e-7,5.016581639123412e-17,1.9107265668972525e-4
1.895719445147269e-9,4.315111564576779e-18,6.647259581311592e-5
0.008495622470900464,4.5463912954293145e-14,0.1512619793138603
1.1120292965666782e-10,8.198075597475457e-21,4.311021602842748e-6
0.007510921687485104,2.0863974917455035e-12,0.03458291145098259
3.26152602602558e-6,3.8453923550496864e-25,1.721597588411462e-4
1.8376476885098255e-6,6.088800712315773e-17,7.041061944322795e-5
9.334938160619544e-6,7.345524127591749e-20,6.669942557477527e-4
2.750557805481215e-4,4.830600386693954e-18,0.0251194106325552
7.612589990329131e-6,6.058652732993235e-18,8.346672984458695e-5
