Dwell,Music,Dwell:Music,Dwell:B1
0.0451047276370257,1.1585178821428701e-10,0.8475825565643618,0.0071344962852957486
0.001656467770899327,2.590991819209489e-19,5.711331033443246e-4,0.004400349494275914
0.1409413253701758,4.341773214378496e-16,0.03152356205958868,0.007419161202183338
2.3167723293912845e-5,6.987856462720232e-21,6.82218679077966e-5,0.0018050950420476582
2.0164422374997115e-5,2.1922136613713325e-18,6.458779000191457e-4,1.0777839269280293e-4
0.001546074637436062,1.6782805870085807e-15,0.08304264205598282,0.001008042011840876
0.11433866214767069,7.145617241964157e-13,0.02032993585797929,0.020501074915674496
0.007480002904363947,7.048279728637625e-20,3.516943144483341e-4,0.09281773936479312
2.3258772644326506e-6,5.60106526796865e-18,2.127480976009906e-5,5.16846905656883e-4
4.07885575214339e-4,1.800708946444142e-18,6.700788089192375e-4,0.001832006714436108
1.7384071900010818e-4,1.028369004185046e-15,0.001800347865593432,0.012315688007540489
4.740575070978284e-4,1.2411642787770363e-15,0.04216180241126445,0.001477467815235988
0.0010156688827124849,2.6414285144132462e-8,0.6161096791205664,5.741838885020823e-4
0.0014913609484593848,6.481348631227762e-13,0.04256605868106246,3.3119283598398112e-06
4.061965519241425e-5,3.061232134933565e-14,4.679808752924143e-4,1.7456046215965636e-6
7.003600791937792e-4,4.597890988358238e-17,0.5715479230215798,1.5419469203875835e-4
3.099378773388756e-6,5.879285193872084e-26,3.967614895073331e-5,2.2922306511840537e-6
2.1635515934518543e-5,3.7073699648692145e-23,4.020036018729597e-7,3.8799577228404577e-4
0.016182924331940757,2.4664547190851652e-18,0.005494599940600444,0.05409013604814615
0.0024160400141482507,5.60501895414674e-15,0.0046271024382670296,0.01641360510548222
6.856124516276331e-4,3.191096181225781e-19,0.005973152404851769,0.04358583519170058
3.5419739578257696e-4,2.9938953227969686e-10,0.507255904595349,4.086668127822777e-5
1.3559184215918681e-6,1.4936774451120472e-18,2.4234190063557143e-7,0.006067279942653432
8.887015095964885e-10,4.559393736093621e-18,7.616794102628365e-5,8.233095011058302e-5
0.0019370228629657167,8.164723184130967e-11,0.4503325133303364,3.103747600542693e-4
0.2304732147765367,4.4378608266936476e-16,0.012365903062878401,0.0084051336321872
